{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 847, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 848, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 849, 'Palindrone': 'Yes', 'Number of processes': 14}
{'Number': 850, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 851, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 852, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 853, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 854, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 855, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 856, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 857, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 858, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 859, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 860, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 861, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 862, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 863, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 864, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 865, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 866, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 867, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 868, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 870, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 871, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 872, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 873, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 874, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 875, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 876, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 877, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 878, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 881, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 882, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 883, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 884, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 885, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 886, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 888, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 889, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 890, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 891, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 892, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 893, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 894, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 895, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 896, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 897, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 898, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 899, 'Palindrone': 'Yes', 'Number of processes': 17}
{'Number': 900, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 901, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 902, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 903, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 904, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 905, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 906, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 907, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 908, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 909, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 910, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 911, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 912, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 913, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 914, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 915, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 916, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 917, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 918, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 919, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 920, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 921, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 922, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 923, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 924, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 925, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 926, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 927, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 928, 'Palindrone': 'Yes', 'Number of processes': 10}
{'Number': 929, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 930, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 931, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 932, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 933, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 934, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 935, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 936, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 937, 'Palindrone': 'Yes', 'Number of processes': 17}
{'Number': 938, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 939, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 940, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 941, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 942, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 943, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 944, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 945, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 946, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 947, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 948, 'Palindrone': 'Yes', 'Number of processes': 14}
{'Number': 949, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 950, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 951, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 952, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 953, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 954, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 955, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 956, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 957, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 958, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 959, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 960, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 961, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 962, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 963, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 964, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 965, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 966, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 967, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 969, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 970, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 971, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 972, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 973, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 974, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 975, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 976, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 977, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 979, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 980, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 981, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 982, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 983, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 984, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 985, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 987, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 988, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 989, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 990, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 991, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 992, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 993, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 994, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 995, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 996, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 997, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 998, 'Palindrone': 'Yes', 'Number of processes': 17}
{'Number': 999, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1000, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1001, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1002, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1003, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1004, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1005, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1006, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1007, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1008, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1009, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1010, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1011, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1012, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1013, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1014, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1015, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1016, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1017, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1018, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1019, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1020, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1021, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1022, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1023, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1024, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1025, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1026, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1027, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1028, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1029, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1030, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1031, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1032, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1033, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1034, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1035, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1036, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1037, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1038, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1039, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1040, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1041, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1042, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1043, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1044, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1045, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1046, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1047, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1048, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1049, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1050, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1051, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1052, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1053, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1054, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1055, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1056, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1057, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1058, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1059, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1060, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1061, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1062, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1063, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1064, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1065, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1066, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1067, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1068, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1069, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1070, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1071, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1072, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1073, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1074, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1075, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1076, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1077, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1078, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1079, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1080, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1081, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1082, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1083, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1084, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1085, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1086, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1087, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1088, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1089, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1090, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1091, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1092, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1093, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1094, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1095, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1096, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1097, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1098, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1099, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1100, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1101, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1102, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1103, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1104, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1105, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1106, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1107, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1108, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1109, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1110, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1111, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1112, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1113, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1114, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1115, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1116, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1117, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1118, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1119, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1120, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1121, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1122, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1123, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1124, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1125, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1126, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1127, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1128, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1129, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1130, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1131, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1132, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1133, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1134, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1135, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1136, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1137, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1138, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1139, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1140, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1141, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1142, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1143, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1144, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1145, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1146, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1147, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1148, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1149, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1150, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1151, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1152, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1153, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1154, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1155, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1156, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1157, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1158, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1159, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1160, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1161, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1162, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1163, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1164, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1165, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1166, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1167, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1168, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1169, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1170, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1171, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1172, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1173, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1174, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1175, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1176, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1177, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1178, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1179, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1180, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1181, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1182, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1183, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1184, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1185, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1186, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1187, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1188, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1189, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1190, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1191, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1192, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1193, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1194, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1195, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1196, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1197, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1198, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1199, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1200, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1201, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1202, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1203, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1204, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1205, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1206, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1207, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1208, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1209, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1210, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1211, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1212, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1213, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1214, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1215, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1216, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1217, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1218, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1219, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1220, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1221, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1222, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1223, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1224, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1225, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1226, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1227, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1228, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1229, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1230, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1231, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1232, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1233, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1234, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1235, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1236, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1237, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1238, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1239, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1240, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1241, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1242, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1243, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1244, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1245, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1246, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1247, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1248, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1249, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1250, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1251, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1252, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1253, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1254, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1255, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1256, 'Palindrone': 'Yes', 'Number of processes': 1}
